IDRSSD,date,Financial Institution Name,Institution Name ,defaulter,Failure / Assistance ,total_assets,company ratio 1,company ratio 2,company ratio 3,company ratio 4,company ratio 5,MEV 1,MEV 2,default_within_1Y,Failure,num_records,non_defaulter,const
904957,3/31/2008,COLORADO NATIONAL BANK,COLORADO NATIONAL BANK,1,FAILURE,142138,-0.048734057,-6.505183291,-6.505183291,-0.55401654,0.365435653,0.155788351,-0.253926893,1,1,31,0,1
202907,6/30/2011,"COMMUNITY BANK, NATIONAL ASSOCIATION",,0,,6364903,2.754851923,0.143004658,0.143004658,-0.109969538,1.447333496,0.89736795,0.348841103,0,,60,1,1
652874,12/31/2012,"NEXBANK, SSB",,0,,784781,1.211269162,0.229021279,0.229021279,-0.783150489,1.466905469,-0.400396348,-0.387875336,0,,60,1,1
9115,3/31/2003,COMMERCE BANK/SHORE NATIONAL ASSOCIATION,,0,,2173481,1.962490121,0.253469207,0.253469207,-0.099538836,0.459243095,0.433880701,0.951609098,0,,12,1,1
3344611,6/30/2012,"BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION",,1,,19405460,3.576922815,0.103615009,0.103615009,-0.869224058,0.769762871,-0.585791248,-0.52182378,0,,31,0,1
2560526,3/31/2009,CENTENNIAL BANK,CENTENNIAL BANK,1,FAILURE,241440,0.341980973,-1.857314962,-1.857314962,-1.160576285,1.145982407,1.08276285,-1.928282436,1,1,35,0,1
12311,12/31/2002,"HUNTINGTON NATIONAL BANK, THE",,0,,27399278,3.831313471,0.017433692,0.017433692,-2.279357784,0.206512405,0.433880701,0.951609098,0,,60,1,1
2714570,6/30/2009,SUN WEST BANK,SUN WEST BANK,1,FAILURE,408185,0.729212998,-4.605855198,-4.605855198,-0.181501201,-0.921276186,1.08276285,-1.928282436,1,1,36,0,1
1001152,3/31/2008,INTERNATIONAL BANK OF COMMERCE,,0,,9359919,3.039238489,0.166162262,0.166162262,-0.531784532,-0.325523047,0.155788351,-0.253926893,0,,60,1,1
215756,12/31/2008,NORTH HOUSTON BANK,NORTH HOUSTON BANK,1,FAILURE,351092,0.618100528,-1.017858486,-1.017858486,0.230058799,-3.22897099,1.08276285,-1.928282436,1,1,34,0,1
